aris_file,aris_idx,aris_onset,gantry_file,gantry_idx,gantry_offset,gopro_file,gopro_idx,gopro_offset,notes
data/aris/day2/2023-09-21_100927,3,83,data/gantry/day2/2023-09-21-10-09-23_15cm_mortar.csv,0,8859000.0,data/gopro/day2/clips_sd/GX010012_01.mp4,0,-8,"- target: 15cm_mortar
- Trajectory: L to R (z: 750)
- Tilt: -22°
- roll: 0°
- Min Transmit
- 15dB"
data/aris/day2/2023-09-21_101131,4,87,data/gantry/day2/2023-09-21-10-11-33_15cm_mortar.csv,1,3640001.0,data/gopro/day2/clips_sd/GX010012_02.mp4,1,-8,"- target: 15cm_mortar
- Trajectory: L to R (z: 750)
- Tilt: -22°
- roll: 0°
- Min Transmit
- 15dB
- repeat (main data)"
data/aris/day2/2023-09-21_101416,5,102,data/gantry/day2/2023-09-21-10-14-18_15cm_mortar.csv,2,5016000.0,data/gopro/day2/clips_sd/GX010012_03.mp4,2,-6,"- target: 15cm_mortar
- Trajectory: L to R (z: 750)
- Tilt: -22°
- roll: 0°
- Max Transmit
- 5dB"
data/aris/day2/2023-09-21_101622,6,74,data/gantry/day2/2023-09-21-10-16-23_15cm_mortar.csv,3,3735000.0,data/gopro/day2/clips_sd/GX010012_04.mp4,3,-4,"- target: 15cm_mortar
- Trajectory: L to R (z: 750)
- Tilt: -22°
- roll: 90°
- Max Transmit
- 5dB
- bad, needs repeat"
data/aris/day2/2023-09-21_101840,7,122,data/gantry/day2/2023-09-21-10-18-42_15cm_mortar.csv,4,5360001.0,data/gopro/day2/clips_sd/GX010012_05.mp4,4,-4,"- target: 15cm_mortar
- Trajectory: L to R (z: 750)
- Tilt: -22°
- roll: 90°
- Min Transmit
- 15dB"
data/aris/day2/2023-09-21_102106,8,101,data/gantry/day2/2023-09-21-10-21-09_15cm_mortar.csv,5,3938000.0,data/gopro/day2/clips_sd/GX010012_06.mp4,5,-8,"- target: 15cm_mortar
- Trajectory: L to R (z: 750)
- Tilt: -22°
- roll: 90°
- Max Transmit
- 5dB
- repeat of previous"
data/aris/day2/2023-09-21_102500,9,181,data/gantry/day2/2023-09-21-10-25-01_15cm_mortar.csv,6,10703000.0,data/gopro/day2/clips_sd/GX010012_07.mp4,6,6,"- target: 15cm_mortar
- Trajectory: L to R (z: 500)
- Tilt: -34°
- roll: 0°
- Min Transmit
- 15dB"
data/aris/day2/2023-09-21_102700,10,124,data/gantry/day2/2023-09-21-10-27-05_15cm_mortar.csv,7,4171999.0,data/gopro/day2/clips_sd/GX010012_08.mp4,7,0,"- target: 15cm_mortar
- Trajectory: L to R (z: 500)
- Tilt: -34°
- roll: 0°
- Min Transmit
- 15dB
- repeat (main data)"
data/aris/day2/2023-09-21_102909,11,102,data/gantry/day2/2023-09-21-10-29-12_15cm_mortar.csv,8,3609999.0,data/gopro/day2/clips_sd/GX020012_01.mp4,8,-2,"- target: 15cm_mortar
- Trajectory: L to R (z: 500)
- Tilt: -34°
- roll: 0°
- Max Transmit
- 5dB"
data/aris/day2/2023-09-21_103140,12,82,data/gantry/day2/2023-09-21-10-31-41_15cm_mortar.csv,9,3953001.0,data/gopro/day2/clips_sd/GX020012_02.mp4,9,-2,"- target: 15cm_mortar
- Trajectory: L to R (z: 500)
- Tilt: -34°
- roll: 90°
- Max Transmit
- 5dB"
